id,mfg,name,type,color
"1","NZXT","S340","ATX mid-tower","black/blue"
"2","NZXT","S340","ATX mid-tower","white"
"3","NZXT","S340","ATX mid-tower","black/red"
"4","NZXT","S340","ATX mid-tower","black"
"5","NZXT","S340","ATX mid-tower","white/purple"
"6","NZXT","S340 Elite","ATX mid-tower","white"
"7","NZXT","S340 Elite","ATX mid-tower","black"
"8","NZXT","S340 Elite","ATX mid-tower","black/red"
"9","NZXT","S340 Elite","ATX mid-tower","black/blue"
"10","NZXT","H440","ATX mid-tower","black"
"11","NZXT","H440","ATX mid-tower","white"
"12","NZXT","H440","ATX mid-tower","black/blue"
"13","NZXT","H440","ATX mid-tower","black/red"
"14","NZXT","H440","ATX mid-tower","black/green"
"15","NZXT","H440","ATX mid-tower","white/purple"
"16","NZXT","Manta","mini-ITX desktop","white/black"
"17","NZXT","Manta","mini-ITX desktop","red/black"
"18","NZXT","Manta","mini-ITX desktop","black"
"19","NZXT","Noctis 450","ATX mid-tower","white/blue"
"20","NZXT","Noctis 450","ATX mid-tower","black/red"
"21","NZXT","Phantom 240","Compact ATX mid-tower","white"
"22","NZXT","Phantom 820","ATX full-tower","white"
"23","NZXT","Phantom 820","ATX full-tower","gunmetal"
"24","NZXT","Phantom 820","ATX full-tower","black"
"25","NZXT","Phantom 410","ATX mid-tower","white"
"26","NZXT","Phantom 410","ATX mid-tower","gunmetal"
"27","NZXT","Phantom 410","ATX mid-tower","white/blue"
"28","NZXT","Phantom 410","ATX mid-tower","red"
"29","NZXT","Phantom 530","EATX full-tower","black"
"30","NZXT","Phantom 530","EATX full-tower","red"
"31","NZXT","Phantom 530","EATX full-tower","white"
"32","Phanteks","Enthoo Elite","EATX full-tower","black"
"33","Phanteks","Enthoo Elite","EATX full-tower","gray"
"34","Phanteks","Enthoo Primo","ATX full-tower","black"
"35","Phanteks","Enthoo Primo","ATX full-tower","white"
"36","Phanteks","Enthoo Luxe","ATX full-tower","black"
"37","Phanteks","Enthoo Luxe","ATX full-tower","white"
"38","Phanteks","Enthoo Evolv ATX","ATX mid-tower","black"
"39","Phanteks","Enthoo Evolv ATX","ATX mid-tower","gray"
"40","Phanteks","Enthoo Evolv ATX","ATX mid-tower","silver"
"41","Phanteks","Enthoo Evolv MATX","MATX mid-tower","black"
"42","Phanteks","Enthoo Evolv MATX","MATX mid-tower","gray"
"43","Phanteks","Enthoo Evolv MATX","MATX mid-tower","white"
"44","Corsair","Obsidian 900D","EATX super-tower","black"
"45","Corsair","Obsidian 750D","EATX full-tower","black"
"46","Corsair","Carbide Quiet 600Q","ATX full-tower","black"
"47","Corsair","Graphite 760T","ATX full-tower","black"
"48","Corsair","Graphite 780T","ATX full-tower","black"
"49","Corsair","Graphite 780T","ATX full-tower","white"
"50","Corsair","Crystal 570X RGB","ATX mid-tower","black"
"51","Corsair","Crystal 460X RGB","ATX mid-tower","black"
"52","Corsair","Carbide Air 540","ATX cube","black"
"53","Corsair","Carbide Air 540","ATX cube","white"
"54","Corsair","Obsidian 350D","MATX tower","black"
"55","Corsair","Obsidian 250D","mITX desktop","black"
"56","Corsair","Carbide Air 240","MATX cube","white"
"57","Corsair","Carbide Air 240","MATX cube","black"